WPointID;longitude;latitude;Name;UsedInOSE;Notes;PostCode;Name_old
225;15.1765;46.4801;Razborca;True;;2382.0;Razborca (Slovenj Gradec)
226;15.1764;46.4352;Završe;True;;2382.0;Šentilj pod Turjakom
227;15.1761;46.3452;Vinska Gora;True;;3320.0;Vinska Gora (Velenje)
228;15.1759;46.3002;Pernovo;True;;3310.0;Studence (Žalec)
229;15.1758;46.2552;Ložnica pri Žalcu;True;;3310.0;Žalec
230;15.1755;46.1652;Zgornja Rečica;True;;3270.0;Huda Jama (Laško)
231;15.1753;46.1203;Gore;True;;1431.0;Kopitnik (Hrastnik)
232;15.1752;46.0753;Radeče;True;;1433.0;Zidani Most
233;15.1751;46.0303;Srednik;True;;8297.0;Šentjanž
234;15.1748;45.9403;Sveti Vrh;True;;8230.0;Mokronog (Sv. vrh)
235;15.1745;45.8503;Golušnik;True;;8000.0;Ždinja vas
236;15.1743;45.8053;Novo mesto;True;;8000.0;Novo mesto
237;15.1742;45.7603;Rakovnik pri Birčni vasi;True;;8000.0;Stranska vas
238;15.1739;45.6704;Preloge;True;;8333.0;Semič
239;15.1736;45.5804;Dolnja Paka ;True;;8340.0;Črnomelj
240;15.1735;45.5354;Golek;True;;8343.0;Dragatuš
241;15.2422;46.615;Spodnja Vižinga;True;;2360.0;Radlje ob Dravi
242;15.2414;46.435;Paka;True;;2382.0;Paka
243;15.241;46.3451;Zavrh nad Dobrno;True;;3204.0;Zavrh nad Dobrno
244;15.2408;46.3001;Pepelno;True;;3201.0;Pepelno (Celje)
245;15.2406;46.2551;Celje-Ostrožno;True;;3000.0;Celje
246;15.2404;46.2101;Košnica pri Celju;True;;3000.0;Košnica pri Celju
247;15.2402;46.1651;Jagoče;True;;3270.0;Laško
248;15.2398;46.0752;Žirovnica;True;;1434.0;Žirovnica (Zidani Most)
249;15.2396;46.0302;Mrtovec ;True;;8294.0;Vrhovo
250;15.2393;45.9402;Otavnik;True;;8295.0;Otavnik (Mokronog)
